Country Name,Country Code,Indicator Name,Indicator Code,2018,2019,2020,2021,2022
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,21670000,21803000,21919000,22156000,22181000
Lower middle income,LMC,"Population, total",SP.POP.TOTL,3033153113,3075311775,3117225754,3157350729,3190012599
Low & middle income,LMY,"Population, total",SP.POP.TOTL,6400438789,6476995208,6550746999,6618691904,6677948824
Lesotho,LSO,"Population, total",SP.POP.TOTL,2198017,2225702,2254100,2281454,2305825
Late-demographic dividend,LTE,"Population, total",SP.POP.TOTL,2298987594,2309491804,2317278934,2321865172,2325466354
Lithuania,LTU,"Population, total",SP.POP.TOTL,2801543,2794137,2794885,2800839,2833000
Luxembourg,LUX,"Population, total",SP.POP.TOTL,607950,620001,630419,640064,650774
Latvia,LVA,"Population, total",SP.POP.TOTL,1927174,1913822,1900449,1884490,1883379
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,650991,663653,676283,686607,695168
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,33852,33121,32553,31948,31791
Morocco,MAR,"Population, total",SP.POP.TOTL,35927511,36304408,36688772,37076584,37457971
Monaco,MCO,"Population, total",SP.POP.TOTL,37029,37034,36922,36686,36469
Moldova,MDA,"Population, total",SP.POP.TOTL,2707203,2664224,2635130,2615199,2592477
Madagascar,MDG,"Population, total",SP.POP.TOTL,26846541,27533134,28225177,28915653,29611714
Maldives,MDV,"Population, total",SP.POP.TOTL,489758,504508,514438,521457,523787
Middle East & North Africa,MEA,"Population, total",SP.POP.TOTL,465073490,473201775,479966649,486168063,493264873
Mexico,MEX,"Population, total",SP.POP.TOTL,124013861,125085311,125998302,126705138,127504125
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,45989,44728,43413,42050,41569
Middle income,MIC,"Population, total",SP.POP.TOTL,5769572963,5828239756,5883693329,5933441863,5974220875
North Macedonia,MKD,"Population, total",SP.POP.TOTL,2076217,2076694,2072531,2065092,2057679
Mali,MLI,"Population, total",SP.POP.TOTL,19934298,20567424,21224040,21904983,22593590
Malta,MLT,"Population, total",SP.POP.TOTL,484630,504062,515332,518536,523417
Myanmar,MMR,"Population, total",SP.POP.TOTL,52666014,53040212,53423198,53798084,54179306
Middle East & North Africa (excluding high income),MNA,"Population, total",SP.POP.TOTL,398375344,405259403,411810124,418047201,424328381
Montenegro,MNE,"Population, total",SP.POP.TOTL,622227,622028,621306,619211,616159
Mongolia,MNG,"Population, total",SP.POP.TOTL,3163991,3232430,3294335,3347782,3398366
Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,50304,49858,49587,49481,49551
Mozambique,MOZ,"Population, total",SP.POP.TOTL,29423878,30285595,31178239,32077072,32969518
Mauritania,MRT,"Population, total",SP.POP.TOTL,4270712,4383849,4498604,4614974,4736139
Mauritius,MUS,"Population, total",SP.POP.TOTL,1265577,1265985,1266014,1266334,1262523
Malawi,MWI,"Population, total",SP.POP.TOTL,18367883,18867337,19377061,19889742,20405317
Malaysia,MYS,"Population, total",SP.POP.TOTL,32399271,32804020,33199993,33573874,33938221
North America,NAC,"Population, total",SP.POP.TOTL,363967201,365995094,369582571,370321816,372280991
Namibia,NAM,"Population, total",SP.POP.TOTL,2405680,2446644,2489098,2530151,2567012
New Caledonia,NCL,"Population, total",SP.POP.TOTL,271170,271240,272460,274660,276780
Niger,NER,"Population, total",SP.POP.TOTL,22577058,23443393,24333639,25252722,26207977
Nigeria,NGA,"Population, total",SP.POP.TOTL,198387623,203304492,208327405,213401323,218541212
Nicaragua,NIC,"Population, total",SP.POP.TOTL,6572233,6663924,6755895,6850540,6948392
Netherlands,NLD,"Population, total",SP.POP.TOTL,17231624,17344874,17441500,17533044,17703090
Norway,NOR,"Population, total",SP.POP.TOTL,5311916,5347896,5379475,5408320,5457127
Nepal,NPL,"Population, total",SP.POP.TOTL,28506712,28832496,29348627,30034989,30547580
Nauru,NRU,"Population, total",SP.POP.TOTL,11924,12132,12315,12511,12668
New Zealand,NZL,"Population, total",SP.POP.TOTL,4900600,4979200,5090200,5111400,5124100
OECD members,OED,"Population, total",SP.POP.TOTL,1356241793,1362922537,1370222158,1372543943,1377613713
Oman,OMN,"Population, total",SP.POP.TOTL,4601157,4602768,4543399,4520471,4576298
Other small states,OSS,"Population, total",SP.POP.TOTL,31494491,32005477,32381464,32708277,33136283
Pakistan,PAK,"Population, total",SP.POP.TOTL,219731479,223293280,227196741,231402117,235824862
Panama,PAN,"Population, total",SP.POP.TOTL,4165255,4232532,4294396,4351267,4408581
Peru,PER,"Population, total",SP.POP.TOTL,32203944,32824861,33304756,33715471,34049588
Philippines,PHL,"Population, total",SP.POP.TOTL,108568836,110380804,112190977,113880328,115559009
Palau,PLW,"Population, total",SP.POP.TOTL,17864,17916,17972,18024,18055
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,9329227,9542486,9749640,9949437,10142619
Poland,POL,"Population, total",SP.POP.TOTL,37974750,37965475,37899070,37747124,37561599
