Country Name,Country Code,Indicator Name,Indicator Code,2018,2019,2020,2021,2022
Eritrea,ERI,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,
Spain,ESP,GDP per capita (current US$),NY.GDP.PCAP.CD,30379.72111,29581.51855,26959.67544,30103.51373,29350.16852
Estonia,EST,GDP per capita (current US$),NY.GDP.PCAP.CD,23165.84948,23424.48471,23595.24368,27943.70122,28332.62909
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,758.2976902,840.4496034,918.6525941,925.0006972,1027.585918
European Union,EUU,GDP per capita (current US$),NY.GDP.PCAP.CD,35749.08806,35077.72858,34332.64496,38436.14921,37149.60859
Fragile and conflict affected situations,FCS,GDP per capita (current US$),NY.GDP.PCAP.CD,1847.173534,1906.887216,1697.422054,1780.261392,1857.0116
Finland,FIN,GDP per capita (current US$),NY.GDP.PCAP.CD,49987.62616,48629.85823,49169.71934,53489.75202,50536.62447
Fiji,FJI,GDP per capita (current US$),NY.GDP.PCAP.CD,6073.395195,5968.319557,4864.106008,4646.537921,5316.658385
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,41557.85486,40494.89829,39055.28293,43658.97898,40963.83734
Faroe Islands,FRO,GDP per capita (current US$),NY.GDP.PCAP.CD,62576.80375,63382.75314,61979.79544,69010.1662,
"Micronesia, Fed. Sts.",FSM,GDP per capita (current US$),NY.GDP.PCAP.CD,3623.329337,3699.081514,3639.412699,3571.336769,3741.057769
Gabon,GAB,GDP per capita (current US$),NY.GDP.PCAP.CD,7694.906045,7523.862278,6680.08267,8635.797144,8820.347338
United Kingdom,GBR,GDP per capita (current US$),NY.GDP.PCAP.CD,43306.3083,42747.08046,40318.41692,46585.89756,45850.42612
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,4722.042423,4696.150586,4255.742993,5023.274384,6627.70698
Ghana,GHA,GDP per capita (current US$),NY.GDP.PCAP.CD,2180.029684,2167.92544,2176.576218,2410.877309,2175.85977
Gibraltar,GIB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,
Guinea,GIN,GDP per capita (current US$),NY.GDP.PCAP.CD,944.4172686,1043.899886,1073.659339,1189.175999,1531.656475
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,683.3246379,722.875351,704.0304578,772.1514524,840.0101934
Guinea-Bissau,GNB,GDP per capita (current US$),NY.GDP.PCAP.CD,781.6443676,730.6114323,710.258133,795.118605,775.8289657
Equatorial Guinea,GNQ,GDP per capita (current US$),NY.GDP.PCAP.CD,8719.18687,7317.390024,6327.598962,7506.667861,7053.467085
Greece,GRC,GDP per capita (current US$),NY.GDP.PCAP.CD,19756.99046,19144.28439,17658.9473,20192.5963,20732.05222
Grenada,GRD,GDP per capita (current US$),NY.GDP.PCAP.CD,9574.310271,9887.920742,8437.536782,9010.5128,10016.20869
Greenland,GRL,GDP per capita (current US$),NY.GDP.PCAP.CD,54545.29998,53309.57927,54693.51141,57116.41387,
Guatemala,GTM,GDP per capita (current US$),NY.GDP.PCAP.CD,4485.752384,4647.80734,4609.897258,5029.477338,5473.208741
Guam,GUM,GDP per capita (current US$),NY.GDP.PCAP.CD,35902.7259,37752.63308,34780.86166,35904.86355,
Guyana,GUY,GDP per capita (current US$),NY.GDP.PCAP.CD,6094.909837,6477.296726,6863.074346,9998.544311,18989.7902
High income,HIC,GDP per capita (current US$),NY.GDP.PCAP.CD,44530.38006,44727.7346,43437.89431,48351.07207,49430.32936
"Hong Kong SAR, China",HKG,GDP per capita (current US$),NY.GDP.PCAP.CD,48537.56689,48359.00325,46109.22999,49764.79312,48983.6238
Honduras,HND,GDP per capita (current US$),NY.GDP.PCAP.CD,2457.686012,2519.366193,2354.12148,2771.722616,3040.17308
Heavily indebted poor countries (HIPC),HPC,GDP per capita (current US$),NY.GDP.PCAP.CD,973.0335414,980.4439366,964.9163762,1043.67963,1097.051659
Croatia,HRV,GDP per capita (current US$),NY.GDP.PCAP.CD,15003.14068,15086.21174,14236.53525,17747.78929,18413.23468
Haiti,HTI,GDP per capita (current US$),NY.GDP.PCAP.CD,1489.578406,1345.475055,1283.141228,1823.742224,1748.257132
Hungary,HUN,GDP per capita (current US$),NY.GDP.PCAP.CD,16425.20503,16786.21364,16125.60941,18772.14111,18463.20852
IBRD only,IBD,GDP per capita (current US$),NY.GDP.PCAP.CD,6363.722854,6450.760199,6170.422732,7275.454626,7658.320887
IDA & IBRD total,IBT,GDP per capita (current US$),NY.GDP.PCAP.CD,5076.884407,5131.966716,4895.974989,5712.35779,5988.572797
IDA total,IDA,GDP per capita (current US$),NY.GDP.PCAP.CD,1410.16581,1427.769012,1371.129176,1461.61016,1528.972799
IDA blend,IDB,GDP per capita (current US$),NY.GDP.PCAP.CD,1875.798613,1874.584627,1720.741224,1842.031993,1930.612819
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,3902.661675,4151.227555,3895.618152,4334.215983,4787.999308
IDA only,IDX,GDP per capita (current US$),NY.GDP.PCAP.CD,1178.524433,1206.137997,1198.151155,1273.743881,1330.854544
Isle of Man,IMN,GDP per capita (current US$),NY.GDP.PCAP.CD,89425.89139,87152.45302,79530.60548,,
India,IND,GDP per capita (current US$),NY.GDP.PCAP.CD,1974.37773,2050.16379,1913.219721,2238.127139,2388.621198
Not classified,INX,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,
