,lon1,lat1,dep1,lon2,lat2,dep2,lon3,lat3,dep3,lon4,lat4,dep4
87,332.611,61.398,0.0,332.774,61.532,0.0,332.611,61.398,15.0,332.774,61.532,15.0
88,332.418,61.252,0.0,332.611,61.398,0.0,332.418,61.252,15.0,332.611,61.398,15.0
89,332.145,61.066,0.0,332.418,61.252,0.0,332.145,61.066,15.0,332.418,61.252,15.0
90,331.976,60.956,0.0,332.145,61.066,0.0,331.976,60.956,15.0,332.145,61.066,15.0
91,331.808,60.848,0.0,331.976,60.956,0.0,331.808,60.848,15.0,331.976,60.956,15.0
92,331.592,60.705,0.0,331.808,60.848,0.0,331.592,60.705,15.0,331.808,60.848,15.0
93,331.358,60.566,0.0,331.592,60.705,0.0,331.358,60.566,15.0,331.592,60.705,15.0
94,331.171,60.419,0.0,331.358,60.566,0.0,331.171,60.419,15.0,331.358,60.566,15.0
95,331.073,60.333,0.0,331.171,60.419,0.0,331.073,60.333,15.0,331.171,60.419,15.0
96,330.971,60.34,0.0,331.073,60.333,0.0,330.971,60.34,15.0,331.073,60.333,15.0
97,330.882,60.273,0.0,330.971,60.34,0.0,330.882,60.273,15.0,330.971,60.34,15.0
98,330.776,60.168,0.0,330.882,60.273,0.0,330.776,60.168,15.0,330.882,60.273,15.0
99,330.628,60.083,0.0,330.776,60.168,0.0,330.628,60.083,15.0,330.776,60.168,15.0
100,330.492,59.969,0.0,330.628,60.083,0.0,330.492,59.969,15.0,330.628,60.083,15.0
101,330.364,59.868,0.0,330.492,59.969,0.0,330.364,59.868,15.0,330.492,59.969,15.0
102,330.151,59.751,0.0,330.364,59.868,0.0,330.151,59.751,15.0,330.364,59.868,15.0
103,329.957,59.618,0.0,330.151,59.751,0.0,329.957,59.618,15.0,330.151,59.751,15.0
104,329.837,59.529,0.0,329.957,59.618,0.0,329.837,59.529,15.0,329.957,59.618,15.0
105,329.695,59.39,0.0,329.837,59.529,0.0,329.695,59.39,15.0,329.837,59.529,15.0
106,329.547,59.238,0.0,329.695,59.39,0.0,329.547,59.238,15.0,329.695,59.39,15.0
107,329.353,59.093,0.0,329.547,59.238,0.0,329.353,59.093,15.0,329.547,59.238,15.0
108,329.209,58.941,0.0,329.353,59.093,0.0,329.209,58.941,15.0,329.353,59.093,15.0
109,329.023,58.976,0.0,329.209,58.941,0.0,329.023,58.976,15.0,329.209,58.941,15.0
110,328.961,58.892,0.0,329.023,58.976,0.0,328.961,58.892,15.0,329.023,58.976,15.0
111,328.822,58.805,0.0,328.961,58.892,0.0,328.822,58.805,15.0,328.961,58.892,15.0
112,328.697,58.69,0.0,328.822,58.805,0.0,328.697,58.69,15.0,328.822,58.805,15.0
113,328.573,58.574,0.0,328.697,58.69,0.0,328.573,58.574,15.0,328.697,58.69,15.0
114,328.444,58.447,0.0,328.573,58.574,0.0,328.444,58.447,15.0,328.573,58.574,15.0
115,328.255,58.468,0.0,328.444,58.447,0.0,328.255,58.468,15.0,328.444,58.447,15.0
116,328.2,58.397,0.0,328.255,58.468,0.0,328.2,58.397,15.0,328.255,58.468,15.0
117,328.128,58.34,0.0,328.2,58.397,0.0,328.128,58.34,15.0,328.2,58.397,15.0
118,328.017,58.249,0.0,328.128,58.34,0.0,328.017,58.249,15.0,328.128,58.34,15.0
119,327.877,58.148,0.0,328.017,58.249,0.0,327.877,58.148,15.0,328.017,58.249,15.0
120,327.719,57.998,0.0,327.877,58.148,0.0,327.719,57.998,15.0,327.877,58.148,15.0
121,327.528,58.006,0.0,327.719,57.998,0.0,327.528,58.006,15.0,327.719,57.998,15.0
122,327.508,57.957,0.0,327.528,58.006,0.0,327.508,57.957,15.0,327.528,58.006,15.0
123,327.381,57.88,0.0,327.508,57.957,0.0,327.381,57.88,15.0,327.508,57.957,15.0
124,327.292,57.773,0.0,327.381,57.88,0.0,327.292,57.773,15.0,327.381,57.88,15.0
125,327.194,57.642,0.0,327.292,57.773,0.0,327.194,57.642,15.0,327.292,57.773,15.0
126,327.082,57.667,0.0,327.194,57.642,0.0,327.082,57.667,15.0,327.194,57.642,15.0
127,327.036,57.608,0.0,327.082,57.667,0.0,327.036,57.608,15.0,327.082,57.667,15.0
128,326.99,57.548,0.0,327.036,57.608,0.0,326.99,57.548,15.0,327.036,57.608,15.0
129,326.93,57.451,0.0,326.99,57.548,0.0,326.93,57.451,15.0,326.99,57.548,15.0
130,326.797,57.285,0.0,326.93,57.451,0.0,326.797,57.285,15.0,326.93,57.451,15.0
131,326.623,57.265,0.0,326.797,57.285,0.0,326.623,57.265,15.0,326.797,57.285,15.0
132,326.503,57.264,0.0,326.623,57.265,0.0,326.503,57.264,15.0,326.623,57.265,15.0
133,326.491,57.163,0.0,326.503,57.264,0.0,326.491,57.163,15.0,326.503,57.264,15.0
134,326.465,57.088,0.0,326.491,57.163,0.0,326.465,57.088,15.0,326.491,57.163,15.0
135,326.434,57.001,0.0,326.465,57.088,0.0,326.434,57.001,15.0,326.465,57.088,15.0
136,326.413,56.874,0.0,326.434,57.001,0.0,326.413,56.874,15.0,326.434,57.001,15.0
137,326.318,56.871,0.0,326.413,56.874,0.0,326.318,56.871,15.0,326.413,56.874,15.0
138,326.204,56.883,0.0,326.318,56.871,0.0,326.204,56.883,15.0,326.318,56.871,15.0
139,326.022,56.902,0.0,326.204,56.883,0.0,326.022,56.902,15.0,326.204,56.883,15.0
140,325.996,56.827,0.0,326.022,56.902,0.0,325.996,56.827,15.0,326.022,56.902,15.0
141,325.957,56.78,0.0,325.996,56.827,0.0,325.957,56.78,15.0,325.996,56.827,15.0
142,325.928,56.739,0.0,325.957,56.78,0.0,325.928,56.739,15.0,325.957,56.78,15.0
143,325.782,56.746,0.0,325.928,56.739,0.0,325.782,56.746,15.0,325.928,56.739,15.0
144,325.753,56.659,0.0,325.782,56.746,0.0,325.753,56.659,15.0,325.782,56.746,15.0
145,325.679,56.577,0.0,325.753,56.659,0.0,325.679,56.577,15.0,325.753,56.659,15.0
146,325.654,56.502,0.0,325.679,56.577,0.0,325.654,56.502,15.0,325.679,56.577,15.0
147,325.56,56.498,0.0,325.654,56.502,0.0,325.56,56.498,15.0,325.654,56.502,15.0
148,325.54,56.436,0.0,325.56,56.498,0.0,325.54,56.436,15.0,325.56,56.498,15.0
149,325.507,56.337,0.0,325.54,56.436,0.0,325.507,56.337,15.0,325.54,56.436,15.0
150,325.49,56.21,0.0,325.507,56.337,0.0,325.49,56.21,15.0,325.507,56.337,15.0
151,325.442,56.061,0.0,325.49,56.21,0.0,325.442,56.061,15.0,325.49,56.21,15.0
152,325.38,55.939,0.0,325.442,56.061,0.0,325.38,55.939,0.0,325.442,56.061,0.0
153,325.362,55.812,0.0,325.38,55.939,0.0,325.362,55.812,0.0,325.38,55.939,0.0
154,325.123,55.849,0.0,325.362,55.812,0.0,325.123,55.849,0.0,325.362,55.812,0.0
